Select time,,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,,4,5,7,15,10,15,19,11,6,10,5
Philippines,,24,25,33,26,52,57,56,49,50,49,72
Georgia,,..,..,1,..,6,8,5,6,6,13,10
Japan,,7,6,5,11,10,9,14,15,5,16,10
Jordan,,2,3,..,2,6,4,2,1,9,1,1
India,,47,84,82,49,146,122,135,107,87,108,127
Indonesia,,2,4,4,11,12,7,6,7,7,4,4
"Iran, Islamic Republic of",,1,2,7,9,3,13,13,8,8,10,8
Iraq,,1,1,..,3,1,5,2,1,..,..,2
Israel,,6,17,13,21,15,24,46,31,31,17,15
Kazakhstan,,1,..,2,3,1,6,3,6,2,3,4
Kyrgyzstan,,..,..,..,3,..,..,1,..,1,..,..
Kuwait,,1,..,1,..,..,..,..,2,2,..,2
Lao People's Democratic Republic,,1,..,..,..,..,..,..,..,..,1,1
Lebanon,,2,4,8,7,12,8,10,5,3,5,5
Malaysia,,1,1,1,1,2,3,6,..,1,2,2
Maldives,,..,..,..,..,1,..,..,..,1,..,1
Mongolia,,..,..,..,..,..,..,1,3,..,..,..
Myanmar,,..,..,..,..,2,..,1,..,..,..,..
Nepal,,..,..,..,..,..,..,1,..,..,..,..
Oman,,..,1,..,..,2,..,2,..,..,..,..
Pakistan,,10,12,22,16,45,21,15,17,19,21,26
Qatar,,..,2,3,7,..,3,6,2,..,1,1
Singapore,,..,2,5,12,3,1,5,..,2,1,1
Syrian Arab Republic,,..,2,9,1,2,4,2,5,3,4,2
Sri Lanka,,15,21,17,28,28,30,28,36,25,30,32
Tajikistan,,..,..,..,..,..,2,..,..,..,..,..
"Taiwan, Province of China",,2,2,1,3,..,4,3,2,..,1,..
"Palestinian Territory, Occupied",,..,..,..,..,3,1,..,1,..,4,1
Thailand,,13,20,20,32,54,65,54,60,46,35,24
Timor-Leste,,..,..,..,..,1,..,..,1,..,1,..
Turkmenistan,,..,..,..,..,1,..,..,..,..,..,..
Uzbekistan,,1,..,1,..,..,2,1,5,3,3,3
Viet Nam,,..,3,1,5,1,2,1,4,1,6,3
Yemen,,..,..,..,..,..,1,..,..,..,..,..
Antigua and Barbuda,,..,..,1,1,4,1,..,..,..,..,..
Argentina,,250,186,346,472,544,333,283,264,240,162,145
Bahamas,,..,..,..,1,1,..,..,..,..,..,..
Barbados,,..,..,1,..,..,..,..,..,1,..,1
Belize,,..,..,..,1,..,..,..,1,..,..,..
"Bolivia, Plurinational State of",,17,6,7,6,13,10,16,10,2,10,12
Brazil,,149,116,154,183,228,238,321,299,410,473,480
Canada,,80,80,102,135,158,151,143,122,124,89,83
Chile,,20,17,21,16,26,27,15,13,26,20,7
Colombia,,17,15,28,46,67,69,37,47,51,47,36
Costa Rica,,9,15,13,23,24,17,18,21,16,16,9
Cuba,,9,17,18,34,51,51,55,56,52,53,49
Dominica,,..,1,..,..,..,1,..,..,..,1,..
Dominican Republic,,24,36,42,64,51,57,41,33,37,57,69
Ecuador,,27,17,23,42,81,75,58,41,45,52,39
El Salvador,,1,1,5,4,4,3,2,1,..,1,2
Jamaica,,..,..,1,..,..,..,..,2,1,..,..
Guatemala,,1,3,3,5,16,2,2,8,2,2,2
Haiti,,1,..,1,2,..,..,3,..,1,..,2
Honduras,,2,1,3,2,1,2,2,..,1,2,3
Mexico,,14,19,28,22,32,29,35,38,15,24,15
Nicaragua,,4,2,4,1,3,4,5,3,4,4,..
Panama,,1,7,7,16,8,22,16,17,6,5,13
Paraguay,,..,1,3,6,6,6,4,2,4,2,2
Peru,,37,47,56,55,108,90,79,71,79,77,66
Saint Lucia,,..,1,..,..,..,..,..,..,..,..,..
Saint Vincent and The Grenadines,,..,..,..,..,..,..,..,..,1,..,..
United States,,210,186,327,383,420,348,406,332,283,335,275
Trinidad and Tobago,,..,..,..,1,..,..,..,..,..,..,..
Uruguay,,16,14,18,20,28,18,18,14,15,11,8
"Venezuela, Bolivarian Republic of",,159,75,155,167,326,288,197,122,111,88,75
Australia,,67,79,85,122,78,82,97,85,103,102,75
New Zealand,,..,6,4,5,5,5,2,1,3,6,2
Samoa,,..,..,..,..,..,..,..,..,2,..,..
Tuvalu,,..,..,..,..,..,..,..,..,1,..,..
Vanuatu,,..,3,3,..,..,..,1,..,..,2,..
