Select time,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tunisia,511,610,726,903,930,1002,1047,913,818,843,1146
Uganda,27,32,61,63,26,20,40,44,38,19,30
Zambia,12,19,22,21,24,15,22,17,8,20,14
Zimbabwe,9,8,7,6,12,3,11,11,9,4,3
Afghanistan,36,14,20,18,34,27,45,28,63,27,125
Saudi Arabia,55,72,93,114,134,164,165,180,110,107,104
Armenia,5,5,7,19,13,13,9,24,14,8,14
Azerbaijan,6,4,8,8,46,23,18,17,21,17,20
Bahrain,10,17,25,30,30,54,43,20,36,25,31
Bangladesh,606,818,661,755,681,637,385,400,403,422,1050
Bhutan,1,1,..,1,..,..,1,..,..,..,..
Brunei Darussalam,2,..,4,2,4,12,6,3,1,1,1
Cambodia,5,8,16,16,14,20,34,22,18,20,16
China,1290,1736,2378,2633,2897,2944,2736,2801,2604,2347,2832
"Korea, Republic of",92,65,115,140,171,145,130,149,101,107,107
"Korea, Democratic People's Republic of",4,..,12,7,5,6,2,5,4,2,8
United Arab Emirates,384,333,444,665,1018,1228,1465,1263,1066,819,676
Philippines,218,291,339,499,454,468,480,449,444,418,642
Georgia,8,41,44,81,68,139,160,148,161,122,89
Japan,349,342,398,452,499,501,527,555,522,582,511
Jordan,32,29,36,48,61,47,59,79,67,44,50
India,642,871,1096,1336,1476,1578,1354,1254,1214,1030,1493
Indonesia,48,86,100,154,137,122,116,144,92,126,89
"Iran, Islamic Republic of",16,21,51,52,59,50,65,50,47,57,82
Iraq,12,12,10,26,21,32,52,28,27,43,147
Israel,88,149,179,170,227,184,302,301,167,189,140
Kazakhstan,34,61,107,57,76,63,61,87,79,59,41
Kyrgyzstan,3,7,..,20,3,7,6,7,17,9,11
Kuwait,27,29,28,66,38,57,57,44,45,46,57
Lao People's Democratic Republic,3,..,7,..,6,12,5,7,15,4,3
Lebanon,43,113,98,78,79,119,76,71,87,68,75
Malaysia,24,57,55,74,86,103,114,75,90,54,58
Maldives,6,4,6,10,10,18,6,8,37,14,14
Mongolia,1,3,1,6,3,9,6,9,3,1,1
Myanmar,9,..,7,3,8,13,19,56,21,25,12
Nepal,2,7,9,11,6,7,10,11,27,12,20
Oman,16,18,31,24,48,44,68,21,59,37,54
Pakistan,354,452,547,579,700,711,629,613,601,533,1173
Qatar,57,68,89,145,123,182,281,216,195,147,128
Singapore,79,100,171,211,360,296,303,271,287,232,194
Syrian Arab Republic,22,46,65,24,31,28,28,17,28,26,86
Sri Lanka,310,392,481,618,690,621,579,561,482,425,494
Tajikistan,1,..,..,1,..,2,2,1,1,2,5
"Taiwan, Province of China",14,20,30,50,57,61,43,59,56,64,53
"Palestinian Territory, Occupied",..,6,6,9,20,9,13,13,10,13,15
Thailand,236,227,244,311,446,572,578,462,367,353,248
Timor-Leste,4,..,2,1,2,1,..,1,2,6,..
Turkmenistan,..,7,3,2,5,1,6,10,..,..,4
Uzbekistan,12,16,9,25,6,13,19,18,10,9,17
Viet Nam,50,44,68,52,53,61,72,88,72,62,79
Yemen,8,4,1,9,7,4,..,2,5,3,5
Antigua and Barbuda,7,2,7,6,9,11,8,12,9,7,9
Argentina,1121,1028,1257,1730,1877,1402,1117,994,960,890,906
Bahamas,3,4,4,6,10,3,10,4,9,4,4
Barbados,2,1,2,2,8,4,1,3,2,3,2
Belize,..,1,..,3,1,2,4,2,1,7,1
"Bolivia, Plurinational State of",138,94,157,197,166,202,192,177,108,101,148
Brazil,2600,2471,2757,3519,4089,4061,4745,5231,7386,9052,8827
Canada,511,526,709,947,1219,1307,1406,1376,1682,1522,1287
Chile,144,129,208,185,275,264,244,236,265,223,159
Colombia,263,204,341,385,548,629,485,469,392,351,324
Costa Rica,88,129,160,195,246,209,182,154,152,117,104
Cuba,153,135,170,228,290,369,455,371,401,361,338
Dominica,4,3,4,5,4,6,..,4,2,2,5
Dominican Republic,231,315,432,518,478,580,313,362,298,535,465
Ecuador,351,456,535,688,924,947,783,536,400,376,426
El Salvador,13,21,50,46,32,43,40,24,24,24,39
Jamaica,3,13,4,6,13,7,2,3,4,4,4
Grenada,6,..,3,3,..,..,1,1,4,3,1
Guatemala,30,38,38,44,66,44,33,43,21,29,30
Guyana,..,..,..,3,2,..,2,4,2,15,4
Haiti,3,1,11,24,24,7,11,3,4,2,8
Honduras,20,13,22,28,18,18,12,13,22,13,10
Mexico,323,321,473,414,488,513,625,623,544,558,365
Nicaragua,26,35,26,18,17,27,28,12,27,16,7
Panama,23,51,123,182,163,232,267,203,98,86,69
Paraguay,24,31,33,60,55,62,44,45,37,53,34
Peru,292,522,612,598,846,934,799,686,661,520,524
Saint Kitts and Nevis,..,..,..,2,2,2,..,..,..,..,..
Saint Lucia,3,3,2,7,..,1,..,..,1,..,1
Saint Vincent and The Grenadines,..,1,..,2,4,6,2,3,22,2,..
United States,2773,3073,4195,4970,5560,5951,5995,6316,6176,6027,4797
Suriname,1,3,2,5,..,..,1,..,..,..,..
Trinidad and Tobago,..,..,2,3,10,9,4,2,3,3,2
Uruguay,86,95,107,126,132,95,77,88,62,60,66
"Venezuela, Bolivarian Republic of",532,340,524,726,901,808,652,395,301,297,303
Australia,745,739,984,1434,1654,1873,2142,2495,2530,2466,2346
Fiji,4,2,1,1,..,4,2,6,..,6,3
Kiribati,..,..,..,..,..,..,..,1,..,..,..
"Micronesia, Federated States of",..,..,2,..,..,..,1,..,..,..,..
Nauru,..,2,..,..,..,2,1,..,..,..,..
New Zealand,45,86,118,115,116,181,163,234,235,222,188
Palau,..,..,4,5,..,..,1,..,1,..,3
Papua New Guinea,..,1,6,4,1,3,2,3,1,2,2
Samoa,..,..,..,6,1,..,..,..,5,..,..
Tonga,..,1,..,..,..,3,..,1,..,1,1
Tuvalu,..,..,1,..,..,..,..,..,1,..,..
Vanuatu,2,6,4,..,..,..,3,..,..,2,..
